city,country,admin_name,capital,population,id
Smithfield,United States,North Carolina,,32156.0,1840017795
Wilson,United States,Pennsylvania,,7807.0,1840000984
Half Moon Bay,United States,California,,23653.0,1840020303
Mountain Home,United States,Idaho,,16945.0,1840020017
Sakai,Japan,Ibaraki,,24035.0,1392827163
Macau,Macau,,,568700.0,1446227359
Nutley,United States,New Jersey,,28478.0,1840131593
Weyburn,Canada,Saskatchewan,,10870.0,1124618383
Lake Park,United States,Florida,,8556.0,1840017258
Palembang,Indonesia,Sumatera Selatan,admin,1452456.0,1360902897
Newton,United States,Massachusetts,,88414.0,1840000433
Quincy,United States,Massachusetts,,94470.0,1840000461
Culiacan,Mexico,Sinaloa,admin,785800.0,1484516810
Baltimore,United States,Maryland,,2106068.0,1840001592
Lynn Haven,United States,Florida,,20525.0,1840015922
Ogaki,Japan,Gifu,,158386.0,1392727505
Riyadh,Saudi Arabia,Ar Riyāḑ,primary,6881000.0,1682999334
Laredo,United States,Texas,,262491.0,1840021002
Arroyo Grande,United States,California,,54177.0,1840019125
Roseland,United States,New Jersey,,5835.0,1840000998
Biddeford,United States,Maine,,21504.0,1840000342
Kirksville,United States,Missouri,,17602.0,1840008372
St. Joseph,United States,Missouri,,79161.0,1840009549
Santa Barbara,United States,California,,202401.0,1840021829
Pampa,United States,Texas,,17230.0,1840022939
Concord,United States,California,,652308.0,1840018905
Boynton Beach,United States,Florida,,78679.0,1840014208
Tours,France,Centre-Val de Loire,minor,135787.0,1250635972
Batavia,United States,Illinois,,26420.0,1840007035
Palma,Spain,Balearic Islands,admin,550000.0,1724728111
Green Brook,United States,New Jersey,,7114.0,1840081702
Byron Center,United States,Michigan,,7089.0,1840004306
Brownwood,United States,Texas,,21729.0,1840019519
Matsudo,Japan,Chiba,,492367.0,1392642525
Nakhon Ratchasima,Thailand,Nakhon Ratchasima,admin,134440.0,1764752197
Toyohashi,Japan,Aichi,,371507.0,1392482960
Brisbane,Australia,Queensland,admin,2514184.0,1036192929
Gangneung,"Korea, South",Gangwon,minor,215677.0,1410450550
Horn Lake,United States,Mississippi,,27272.0,1840014643
Northampton,United States,Pennsylvania,,39263.0,1840151117
Gardendale,United States,Alabama,,14177.0,1840002820
Burtonsville,United States,Maryland,,9823.0,1840005827
Worthington,United States,Ohio,,14692.0,1840010522
Mexico,Philippines,Pampanga,,154624.0,1608191667
Moab,United States,Utah,,7278.0,1840020227
Amsterdam,Netherlands,Noord-Holland,primary,862965.0,1528355309
Prospect,United States,Connecticut,,9705.0,1840035549
Corte Madera,United States,California,,9751.0,1840022519
Uniondale,United States,New York,,32007.0,1840005279
Waynesville,United States,North Carolina,,10141.0,1840016297
Rohnert Park,United States,California,,43291.0,1840020243
