id,name,city,reg,name
70316-102937,Safeway - Hinton #825,Hinton,CA,Lola Cauthen
74759-97791,Safeway-Prince Rupert #78,Prince Rupert,CA,Lola Cauthen
20386-204744,Eagle Creek Village SC,Victoria,CA,Lola Cauthen
4859-115935,Front & Frederick,Toronto,CA,Lola Cauthen
18445-191045,Compass Coventry Uni,Coventry,GB,Lola Cauthen
35631-224526,Citraland,Jakarta,ID,Lola Cauthen
5364-906,Gilroy Town Place,Gilroy,US,Lola Cauthen
76189-93365,Target Rowland Heights T-222,Rowland Heights,US,Lola Cauthen
6741-75501,"Falcon & Washington, San Diego",San Diego,US,Lola Cauthen
74789-73690,Safeway-San Jose #997,San Jose,US,Lola Cauthen
26774-244572,SR 70 & Lockwood,Bradenton,US,Lola Cauthen
28668-250140,Teavana - Dolphin Mall,Miami,US,Lola Cauthen
22133-206324,Ridley's Family Markets - Kuna,Kuna,US,Lola Cauthen
27531-244692,Target Express Streeterville,Chicago,US,Lola Cauthen
6304-1899,Elmwood,Harahan,US,Lola Cauthen
7873-77521,Ravenwood,Towson,US,Lola Cauthen
5588-238086,ABQ - Juan Tabo and Montgomery,Albuquerque,US,Lola Cauthen
22596-222524,154 N Seventh St,Brooklyn,US,Lola Cauthen
25274-240368,26th between 10th and 11th,New York,US,Lola Cauthen
21456-209565,CLE C371,Cleveland,US,Lola Cauthen
6201-1355,6115 Camp Bowie,Fort Worth,US,Lola Cauthen
72605-27107,Super Target Sandy ST-1752,Sandy,US,Lola Cauthen
3329-20339,1609 West Dravus,Seattle,US,Lola Cauthen
9281-95846,South 108th & National,West Allis,US,Lola Cauthen
74757-97374,Safeway-Surrey #47,Surrey,CA,Florence Nelson
13109-107965,Rue de la Republique 2,Lyon,FR,Florence Nelson
17508-182527,Bristol WelcomeBreak - Gordano 2ndC,Bristol,GB,Florence Nelson
49006-266325,Ilford - High Road,Ilford,GB,Florence Nelson
21983-216624,SPA,Mexico,MX,Florence Nelson
20233-204145,Torre Origami,Mexico,MX,Florence Nelson
30763-99077,GDL - Aeropuerto Guadalajara PB,Guadalajara,MX,Florence Nelson
18838-193385,Haarlem Station,Haarlem,NL,Florence Nelson
18904-138404,Krasnaya Roza,Moscow,RU,Florence Nelson
24103-235468,Suntec City Mall level 1,Singapore,SG,Florence Nelson
10800-101121,"71st St. & Shea, Scottsdale",Scottsdale,US,Florence Nelson
29701-179005,Slauson & Sepulveda,Culver City,US,Florence Nelson
9328-96241,"3rd & Gage, Los Angeles",Los Angeles,US,Florence Nelson
5669-4251,675 Portola - Miraloma,San Francisco,US,Florence Nelson
5425-1281,"18th & Franklin - Denver, CO",Denver,US,Florence Nelson
10963-102726,1901 West Street,Annapolis,US,Florence Nelson
23676-138166,Tops Markets - Rhinebeck #531,Rhinebeck,US,Florence Nelson
10172-99764,Carothers & Bakers Bridge,Franklin,US,Florence Nelson
15947-155025,Safeway-West Seattle #2932,Seattle,US,Florence Nelson
17964-183966,Sharjah Corniche,Sharjah,AE,Lowell Glenn
9155-152277,WB Membury South,Berkshire,GB,Lowell Glenn
12600-98209,Pentonville Road,London,GB,Lowell Glenn
12614-99020,Gateshead - Upper Mall Metrocentre,Newcastle,GB,Lowell Glenn
17831-186424,Edinburgh - Waverley Steps,Edinburgh,GB,Lowell Glenn
35622-94319,Sun Plaza Medan,Medan,ID,Lowell Glenn
30114-149644,AQUA CiTY Odaiba,Minato-ku,JP,Lowell Glenn
15931-164746,AEON MALL Miyazaki,Miyzaki,JP,Lowell Glenn
21471-200466,Torggata,Oslo,NO,Lowell Glenn
22378-220526,Starbucks,Izmir,TR,Lowell Glenn
31116-105171,Yu Cheng,Kaohsiung City,TW,Lowell Glenn
30963-103105,Tao Xing,Taoyuan City,TW,Lowell Glenn
48622-262264,ASU Reng Student Union,Jonesboro,US,Lowell Glenn
14226-95956,Blackhawk Plaza,Danville,US,Lowell Glenn
5471-1581,741 E. Olive Avenue - Fresno,Fresno,US,Lowell Glenn
19857-198885,Target Pomona T-2831,Pomona,US,Lowell Glenn
